Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Number of Google Reviews,Normalized Rating,Normalized Fee,Normalized Time,Normalized Reviews,Weekend Availability Score,Significance Score,Type Score,Airport Score,Ranking Score
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500,Yes,,Wildlife,Yes,0.037,All,3700.0,0.8800000000000001,0.9333333333333333,0.7142857142857143,0.005,1.0,0.25,0.1,0.05,0.6947857142857141
194,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2.0,4.2,150,Yes,Monday,Wildlife,Yes,0.21,All,21000.0,0.8400000000000001,0.98,0.7142857142857143,0.02837837837837838,1.0,0.25,0.1,0.05,0.694123552123552
175,Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2.0,4.3,150,No,,Wildlife,Yes,0.01,All,1000.0,0.86,0.98,0.7142857142857143,0.0013513513513513514,1.0,0.25,0.1,0.0,0.6939208494208494
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2.0,4.2,0,Yes,,Shopping,Yes,0.45,All,45000.0,0.8400000000000001,1.0,0.7142857142857143,0.060810810810810814,1.0,0.1,0.1,0.05,0.6928667953667953
151,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2.0,4.1,0,No,,Adventure,Yes,0.05,Morning,5000.0,0.82,1.0,0.7142857142857143,0.006756756756756757,1.0,0.35,0.1,0.0,0.69246138996139
263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon,25000.0,0.82,0.9973333333333333,0.7142857142857143,0.033783783783783786,1.0,0.25,0.1,0.05,0.6922640926640925
4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,,Scientific,Yes,0.31,Morning,31000.0,0.8400000000000001,0.998,0.7142857142857143,0.041891891891891894,1.0,0.1,0.1,0.05,0.6906749034749035
224,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,4.5,0,No,,Nature,Yes,0.15,All,15000.0,0.9,1.0,0.6428571428571428,0.02027027027027027,1.0,0.3,0.1,0.0,0.6898841698841699
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3.0,4.6,0,Yes,,Shopping,Yes,1.9,All,190000.0,0.9199999999999999,1.0,0.5714285714285714,0.25675675675675674,1.0,0.1,0.1,0.05,0.689604247104247
3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,27000.0,0.82,0.9933333333333333,0.7142857142857143,0.03648648648648649,1.0,0.1,0.2,0.05,0.6894343629343629
